"nLocs","nRes","nInt","nMig","DE","GDM","Year","tRes","tInt","tMig","UseIntensity","Total","ResUI","IntUI","MigUI","GDM10","ResGDM10","IntGDM10","MigGDM10"
1,0,0,1,2.93820023766892,27.1844283050708,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.71844283050708,0,0,2.71844283050708
1,0,0,1,2.89841331626956,32.6087780642772,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.26087780642772,0,0,3.26087780642772
1,0,0,1,2.59463129496889,15.8809926644376,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,1.58809926644376,0,0,1.58809926644376
1,0,0,1,2.58050647348687,16.7281095241346,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,1.67281095241346,0,0,1.67281095241346
1,0,0,1,2.57667086615925,5.16095345222132,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,0.516095345222132,0,0,0.516095345222132
1,0,0,1,2.68301834025614,10.7918723334103,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,1.07918723334103,0,0,1.07918723334103
3,0,0,3,2.80482702197665,16.6828346516056,"2014",480,864,480,0.00164473684210526,1824,0,0,0.00625,1.66828346516056,0,0,1.66828346516056
1,0,0,1,2.7834507150874,23.9096093606234,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.39096093606234,0,0,2.39096093606234
1,0,0,1,2.69019398978956,26.5174607023792,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.65174607023792,0,0,2.65174607023792
1,0,0,1,2.55434456975876,30.8068958069989,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.08068958069989,0,0,3.08068958069989
1,0,0,1,2.86572150731942,16.7956958588455,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,1.67956958588455,0,0,1.67956958588455
1,0,0,1,2.72208030645866,26.3345094929835,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.63345094929835,0,0,2.63345094929835
1,0,0,1,2.68019584373105,36.5973611910879,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.65973611910879,0,0,3.65973611910879
2,0,0,2,2.53438988815446,26.2318394888461,"2014",480,864,480,0.00109649122807018,1824,0,0,0.00416666666666667,2.62318394888461,0,0,2.62318394888461
2,0,0,2,2.70015267439276,36.4410559809922,"2014",480,864,480,0.00109649122807018,1824,0,0,0.00416666666666667,3.64410559809922,0,0,3.64410559809922
1,0,0,1,2.64843072968013,38.6280877447572,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.86280877447572,0,0,3.86280877447572
1,0,0,1,2.63619420950245,37.5308821682429,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.75308821682429,0,0,3.75308821682429
1,0,0,1,2.60768699308695,22.1448961422128,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.21448961422128,0,0,2.21448961422128
1,0,0,1,2.92532098244378,19.0801152306526,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,1.90801152306526,0,0,1.90801152306526
2,0,0,2,2.64651764111991,36.8143043229342,"2014",480,864,480,0.00109649122807018,1824,0,0,0.00416666666666667,3.68143043229342,0,0,3.68143043229342
1,0,0,1,2.62079626121247,31.8817957543119,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.18817957543119,0,0,3.18817957543119
1,0,0,1,2.52116968992602,8.29607270680598,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,0.829607270680598,0,0,0.829607270680598
1,0,0,1,2.88659032870953,30.1490541383458,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,3.01490541383458,0,0,3.01490541383458
1,0,0,1,2.45022044873477,8.98368512294693,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,0.898368512294693,0,0,0.898368512294693
1,0,0,1,2.49233114455896,24.2093610323119,"2014",480,864,480,0.000548245614035088,1824,0,0,0.00208333333333333,2.42093610323119,0,0,2.42093610323119
