deer_w2,moose_w2,elk_w2,sheep_w2,goat_w2,wolf_w2,Elevation2,DistFromHumanAccess2,DistFromHighHumanAccess2,landcover16,EASTING,NORTHING,pack,used,usedFactor,habitatType,landcov.f,closedConif,modConif,openConif,decid,regen,mixed,herb,shrub,water,rockIce,burn,alpineHerb,alpineShrub,alpine
4,4,4,3,3,4,1742.54,72.58655953,7221.584338,12,582877,5725542,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,2065.733333,2338.260031,2980.552184,2,585060,5740190,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2065.733333,2338.260031,2980.552184,2,585060,5740190,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,1,4,1766.006667,218.1349099,175.000022,2,555853,5706978,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,1,4,1766.006667,218.1349099,175.000022,2,555853,5706978,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,1930.779111,952.6663144,5263.981374,12,587119,5724053,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,4,4,3,4,1930.779111,952.6663144,5263.981374,12,587119,5724053,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,4,4,3,4,1930.779111,952.6663144,5263.981374,12,587119,5724053,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,4,4,3,4,1930.779111,952.6663144,5263.981374,12,587119,5724053,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,1700.514222,196.4966562,92.88496698,7,605389,5720587,Red Deer,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,,,,1700.514222,196.4966562,92.88496698,7,605389,5720587,Red Deer,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,,,,1700.514222,196.4966562,92.88496698,7,605389,5720587,Red Deer,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,3,3,3,1,4,2220.233333,1428.699273,5482.186056,12,592842,5718607,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,5,4,3,1,4,1569.813333,481.335353,1189.230185,2,564800,5690850,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1569.813333,481.335353,1189.230185,2,564800,5690850,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1601.973333,296.4814571,255.4410834,2,559250,5696800,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1601.973333,296.4814571,255.4410834,2,559250,5696800,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1601.973333,296.4814571,255.4410834,2,559250,5696800,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1609.22,998.0580758,878.8163691,2,562700,5693100,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1609.22,998.0580758,878.8163691,2,562700,5693100,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1567.679556,567.8822343,486.7608387,3,561950,5693400,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1567.679556,567.8822343,486.7608387,3,561950,5693400,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2132.626667,201.257981,7770.214137,5,587160,5721390,Red Deer,1,1,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2132.626667,201.257981,7770.214137,5,587160,5721390,Red Deer,1,1,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2132.626667,201.257981,7770.214137,5,587160,5721390,Red Deer,1,1,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,293.7954478,371.1611509,2,588900,5670800,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,5,3,1,5,1496.906667,464.8678665,228.2955475,2,567700,5686600,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,3,5,1,1,5,1402,131.8739754,255.1532094,10,587500,5672700,Bow Valley,1,1,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5,5,3,1,5,1402,514.3228807,370.412818,2,588100,5671500,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1586.052889,5.621077945,18.96499851,1,558477,5697212,Bow Valley,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,275.7782175,234.1747031,2,586000,5674300,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,3,4,1433.167111,227.4134405,143.9730068,2,578950,5679200,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,625.2836446,381.545261,2,588150,5671250,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,3,5,1,1,5,1403.753333,8.52360412,73.76638796,2,588155,5672074,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,4,1,1,5,1405.066667,20.31596664,59.35320756,2,584800,5675700,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,470.3650033,357.8981742,2,584800,5674850,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,300.9670861,277.5506774,7,584600,5674800,Bow Valley,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,5,3,1,5,1427.533333,409.3197638,323.0641338,2,582400,5675950,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,3,4,1476,109.2285608,0,8,568250,5685100,Bow Valley,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,5,5,3,1,5,1405.373333,128.2246444,11.42233499,8,590500,5669600,Bow Valley,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,5,5,3,1,5,1402,233.6128562,247.4118471,7,585190,5674900,Bow Valley,1,1,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,4,5,4,3,5,1530.693333,609.9936727,899.784357,3,585750,5676250,Bow Valley,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,6,5,1,6,1433.432889,19.89056871,437.4005227,2,585150,5676250,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,1,5,1403.146222,126.1060984,7.246288489,2,587350,5671500,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1486.32,84.1720543,0,1,569250,5684250,Bow Valley,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,3,4,1433,100.0195074,0,2,577000,5679350,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,6,1,3,6,1503.38,549.6849675,353.4782124,12,587580,5673950,Bow Valley,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,4,1,1,4,1433,192.5865595,246.657616,2,577500,5679200,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,6,1,3,6,1498.753333,500.4970898,313.1665721,2,588050,5673130,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
